sample	R1	R2	mark	condition	igg	peak
K562_1_CTCF	data/raw/K562_1_CTCF_R1.fastq.gz	data/raw/K562_1_CTCF_R2.fastq.gz	CTCF	K562	K562_1_IgG	narrow
K562_2_CTCF	data/raw/K562_2_CTCF_R1.fastq.gz	data/raw/K562_2_CTCF_R2.fastq.gz	CTCF	K562	K562_2_IgG	narrow
K562_3_CTCF	data/raw/K562_3_CTCF_R1.fastq.gz	data/raw/K562_3_CTCF_R2.fastq.gz	CTCF	K562	K562_1_IgG	narrow
K562_1_H3K27Ac	data/raw/K562_1_H3K27Ac_R1.fastq.gz	data/raw/K562_1_H3K27Ac_R2.fastq.gz	H3K27Ac	K562	K562_1_IgG	narrow
K562_1_H3K4me1	data/raw/K562_1_H3K4me1_R1.fastq.gz	data/raw/K562_1_H3K4me1_R2.fastq.gz	H3K4me1	K562	K562_1_IgG	narrow
K562_1_H3K4me2	data/raw/K562_1_H3K4me2_R1.fastq.gz	data/raw/K562_1_H3K4me2_R2.fastq.gz	H3K4me2	K562	K562_1_IgG	narrow
K562_1_H3K4me3	data/raw/K562_1_H3K4me3_R1.fastq.gz	data/raw/K562_1_H3K4me3_R2.fastq.gz	H3K4me3	K562	K562_1_IgG	narrow
K562_1_IgG	data/raw/K562_1_IgG_R1.fastq.gz	data/raw/K562_1_IgG_R2.fastq.gz	IgG	K562	K562_1_IgG	narrow
K562_2_H3K27Ac	data/raw/K562_2_H3K27Ac_R1.fastq.gz	data/raw/K562_2_H3K27Ac_R2.fastq.gz	H3K27Ac	K562	K562_2_IgG	narrow
K562_2_H3K4me1	data/raw/K562_2_H3K4me1_R1.fastq.gz	data/raw/K562_2_H3K4me1_R2.fastq.gz	H3K4me1	K562	K562_2_IgG	narrow
K562_2_H3K4me2	data/raw/K562_2_H3K4me2_R1.fastq.gz	data/raw/K562_2_H3K4me2_R2.fastq.gz	H3K4me2	K562	K562_2_IgG	narrow
K562_2_H3K4me3	data/raw/K562_2_H3K4me3_R1.fastq.gz	data/raw/K562_2_H3K4me3_R2.fastq.gz	H3K4me3	K562	K562_2_IgG	narrow
K562_1_H3K27me3	data/raw/K562_1_H3K27me3_R1.fastq.gz	data/raw/K562_1_H3K27me3_R2.fastq.gz	H3K27me3	K562	K562_1_IgG	broad
K562_2_IgG	data/raw/K562_2_IgG_R1.fastq.gz	data/raw/K562_2_IgG_R2.fastq.gz	IgG	K562	K562_2_IgG	narrow
